GROUNDING_DEALER_CODE,FAAS_DEALER_CODE,DISTANCE_MILES
D001,FD01,1793.0
D001,FD02,2910.3
D001,FD03,3039.6
D001,FD04,1166.3
D001,FD05,2065.2
D001,FD06,1932.0
D001,FD07,2316.7
D001,FD08,3000.4
D001,FD09,1256.0
D001,FD10,1723.7
D001,FD11,2351.9
D001,FD12,429.9
D001,FD13,1445.4
D001,FD14,1658.2
D001,FD15,2219.2
D001,FD16,185.8
D001,FD17,2583.2
D001,FD18,1800.8
D001,FD19,989.5
D001,FD20,2957.6
D001,FD21,2600.2
D001,FD22,2636.0
D001,FD23,767.3
D001,FD24,2467.3
D001,FD25,2761.0
D001,FD26,1.6
D001,FD27,3066.2
D001,FD28,3269.5
D001,FD29,2874.3
D001,FD30,2921.0
D002,FD01,1713.3
D002,FD02,2769.6
D002,FD03,2962.4
D002,FD04,1092.1
D002,FD05,2089.1
D002,FD06,1624.2
D002,FD07,2239.5
D002,FD08,2923.1
D002,FD09,1177.4
D002,FD10,1877.7
D002,FD11,2275.2
D002,FD12,553.7
D002,FD13,868.4
D002,FD14,1581.9
D002,FD15,1959.9
D002,FD16,762.1
D002,FD17,2322.9
D002,FD18,1721.8
D002,FD19,557.6
D002,FD20,2716.9
D002,FD21,2461.4
D002,FD22,2233.4
D002,FD23,645.5
D002,FD24,2122.3
D002,FD25,2684.7
D002,FD26,579.9
D002,FD27,2825.5
D002,FD28,3029.8
D002,FD29,2797.0
D002,FD30,2844.0
D003,FD01,989.7
D003,FD02,1701.4
D003,FD03,2162.2
D003,FD04,566.7
D003,FD05,1433.6
D003,FD06,554.4
D003,FD07,1316.9
D003,FD08,2136.2
D003,FD09,440.7
D003,FD10,1228.2
D003,FD11,1224.1
D003,FD12,938.3
D003,FD13,455.5
D003,FD14,985.4
D003,FD15,892.1
D003,FD16,1417.5
D003,FD17,1254.6
D003,FD18,797.5
D003,FD19,582.7
D003,FD20,1647.8
D003,FD21,1392.8
D003,FD22,1164.8
D003,FD23,590.3
D003,FD24,1054.0
D003,FD25,1635.8
D003,FD26,1352.4
D003,FD27,1756.8
D003,FD28,1961.3
D003,FD29,1839.3
D003,FD30,2078.0
D004,FD01,1057.8
D004,FD02,212.2
D004,FD03,930.1
D004,FD04,1608.0
D004,FD05,845.1
D004,FD06,1093.3
D004,FD07,473.1
D004,FD08,786.1
D004,FD09,1574.0
D004,FD10,1164.2
D004,FD11,418.4
D004,FD12,2353.5
D004,FD13,1978.2
D004,FD14,1156.8
D004,FD15,763.2
D004,FD16,2819.6
D004,FD17,392.2
D004,FD18,968.0
D004,FD19,2214.5
D004,FD20,393.2
D004,FD21,252.0
D004,FD22,715.9
D004,FD23,2049.7
D004,FD24,633.1
D004,FD25,5.3
D004,FD26,2765.7
D004,FD27,589.5
D004,FD28,733.3
D004,FD29,288.1
D004,FD30,770.6
D005,FD01,1761.7
D005,FD02,2968.5
D005,FD03,2995.8
