DEALER_ID,NAME,RENTED,IN_SERVICE,UTILIZATION
FD01,FaaS_Dealer_Harbor,8,19,42.1
FD02,FaaS_Dealer_Summit,28,32,87.5
FD03,FaaS_Dealer_Cedar,6,16,37.5
FD04,FaaS_Dealer_Prairie,23,28,82.1
FD05,FaaS_Dealer_Canyon,6,15,40.0
FD06,FaaS_Dealer_Ridge,21,26,80.8
FD07,FaaS_Dealer_Meadow,4,12,33.3
FD08,FaaS_Dealer_Coastal,4,10,40.0
FD09,FaaS_Dealer_Granite,40,42,95.2
FD10,FaaS_Dealer_Bayview,25,31,80.6
FD11,FaaS_Dealer_Maple,15,24,62.5
FD12,FaaS_Dealer_Juniper,18,23,78.3
FD13,FaaS_Dealer_Oakwood,24,30,80.0
FD14,FaaS_Dealer_Willow,12,20,60.0
FD15,FaaS_Dealer_Redrock,22,27,81.5
FD16,FaaS_Dealer_Sunset,18,29,62.1
FD17,FaaS_Dealer_Aspen,19,24,79.2
FD18,FaaS_Dealer_Birch,35,39,89.7
FD19,FaaS_Dealer_Cypress,3,8,37.5
FD20,FaaS_Dealer_Laurel,36,40,90.0
FD21,FaaS_Dealer_Mesa,7,18,38.9
FD22,FaaS_Dealer_Pioneer,43,45,95.6
FD23,FaaS_Dealer_Quarry,14,22,63.6
FD24,FaaS_Dealer_Rainier,32,36,88.9
FD25,FaaS_Dealer_Sequoia,20,25,80.0
FD26,FaaS_Dealer_Timber,28,35,80.0
FD27,FaaS_Dealer_Valley,26,33,78.8
FD28,FaaS_Dealer_Harvest,32,38,84.2
FD29,FaaS_Dealer_Orchard,22,28,78.6
FD30,FaaS_Dealer_Beacon,30,34,88.2
