VIN,YEAR,MAKE_NAME,MODEL_NAME,SERIES_NAME,ODOMETER,GRADE,MATURITY_DATE,RESIDUAL,GROUNDING_DATE,DEALER_NAME,DEALER_CODE,LOCATION,STATE,ZIPCODE,TERM_TYPE,TERM,CURRENT_ITERATION,BLACKBOOK_RETAIL_CLEAN_AMOUNT,BATCH_ID
VIN_XXXXXXXXXX001,2023,HYUNDAI,IONIQ 5,Limited,16444,A,1/25/2026,22900,2/1/2026,Dealer_WW,D049,"Carson City, NV",NV,89701,FT,13,2,35900,BATCH_003
VIN_XXXXXXXXXX002,2024,HYUNDAI,IONIQ 5,SEL,13931,A,1/28/2026,25150,11/20/2025,Dealer_J,D010,"Philadelphia, PA",PA,19101,ET,13,1,39450,BATCH_003
VIN_XXXXXXXXXX003,2024,HYUNDAI,IONIQ 5,SEL,11241,A,2/1/2026,26800,11/30/2025,Dealer_S,D019,"Detroit, MI",MI,48201,FT,13,1,42000,BATCH_003
VIN_XXXXXXXXXX004,2023,HYUNDAI,IONIQ 5,Limited,27864,B,2/1/2026,20700,11/8/2025,Dealer_B,D002,"Sacramento, CA",CA,95814,FT,13,2,33000,BATCH_001
VIN_XXXXXXXXXX005,2024,HYUNDAI,IONIQ 5,SEL,9416,A,12/28/2025,25700,10/15/2025,Dealer_AA,D027,"Nashville, TN",TN,37201,ET,13,1,40750,BATCH_003
VIN_XXXXXXXXXX006,2022,HYUNDAI,IONIQ 5,SE,30846,B,10/20/2025,17200,11/28/2025,Dealer_S,D019,"Detroit, MI",MI,48201,FT,13,4,29000,BATCH_002
VIN_XXXXXXXXXX007,2024,HYUNDAI,IONIQ 5,SEL,7876,A,2/2/2026,24300,10/12/2025,Dealer_Q,D017,"Juneau, AK",AK,99801,FT,13,1,38550,BATCH_003
VIN_XXXXXXXXXX008,2022,HYUNDAI,IONIQ 5,SE,34120,B,12/15/2025,15850,10/25/2025,Dealer_HH,D034,"Houston, TX",TX,77001,ET,13,4,26500,BATCH_002
VIN_XXXXXXXXXX009,2024,HYUNDAI,IONIQ 5,SEL,9854,A,12/20/2025,25500,10/8/2025,Dealer_KK,D037,"Boise, ID",ID,83702,FT,13,1,40500,BATCH_003
VIN_XXXXXXXXXX010,2024,HYUNDAI,IONIQ 5,SEL,13702,A,12/18/2025,25200,10/28/2025,Dealer_S,D019,"Detroit, MI",MI,48201,FT,13,1,39550,BATCH_003
VIN_XXXXXXXXXX011,2022,HYUNDAI,IONIQ 5,SE,39261,B,12/15/2025,20300,10/20/2025,Dealer_OO,D041,"Oklahoma City, OK",OK,73101,FT,13,4,34250,BATCH_002
VIN_XXXXXXXXXX012,2024,HYUNDAI,IONIQ 5,SEL,11697,A,12/30/2025,23900,10/15/2025,Dealer_K,D011,"Des Moines, IA",IA,50309,ET,13,1,37350,BATCH_003
VIN_XXXXXXXXXX013,2022,HYUNDAI,IONIQ 5,SE,41091,C,10/30/2025,16400,11/20/2025,Dealer_Q,D017,"Juneau, AK",AK,99801,ET,13,3,29300,BATCH_002
VIN_XXXXXXXXXX014,2022,HYUNDAI,IONIQ 5,SE,25729,B,10/15/2025,19450,12/10/2025,Dealer_V,D022,"Minneapolis, MN",MN,55401,ET,13,4,32600,BATCH_002
VIN_XXXXXXXXXX015,2022,HYUNDAI,IONIQ 5,SE,46040,C,10/22/2025,16300,11/28/2025,Dealer_KK,D037,"Boise, ID",ID,83702,ET,13,3,29850,BATCH_002
VIN_XXXXXXXXXX016,2024,HYUNDAI,IONIQ 5,SEL,6629,A,12/22/2025,28300,10/15/2025,Dealer_R,D018,"Wilmington, DE",DE,19801,FT,13,1,45400,BATCH_003
VIN_XXXXXXXXXX017,2022,HYUNDAI,IONIQ 5,SE,40748,C,10/15/2025,13100,1/18/2026,Dealer_K,D011,"Des Moines, IA",IA,50309,ET,13,4,23900,BATCH_002
VIN_XXXXXXXXXX018,2022,HYUNDAI,IONIQ 5,SE,37066,C,11/22/2025,16150,2/1/2026,Dealer_C,D003,"Albuquerque, NM",NM,87101,ET,13,3,29150,BATCH_002
VIN_XXXXXXXXXX019,2022,HYUNDAI,IONIQ 5,SE,40227,C,11/28/2025,15250,12/30/2025,Dealer_GG,D033,"Los Angeles, CA",CA,90210,FT,13,3,27250,BATCH_002
VIN_XXXXXXXXXX020,2023,HYUNDAI,IONIQ 5,Limited,24234,B,11/5/2025,19500,1/22/2026,Dealer_GG,D033,"Los Angeles, CA",CA,90210,FT,13,2,30950,BATCH_001
VIN_XXXXXXXXXX021,2023,HYUNDAI,IONIQ 5,SEL,11852,A,11/15/2025,20150,12/20/2025,Dealer_GG,D033,"Los Angeles, CA",CA,90210,FT,13,2,31500,BATCH_001
VIN_XXXXXXXXXX022,2022,HYUNDAI,IONIQ 5,SE,29774,B,11/18/2025,16700,2/1/2026,Dealer_NN,D040,"Little Rock, AR",AR,72201,ET,13,4,28200,BATCH_002
VIN_XXXXXXXXXX023,2023,HYUNDAI,IONIQ 5,Limited,19545,B,2/2/2026,23350,12/30/2025,Dealer_HH,D034,"Houston, TX",TX,77001,ET,13,2,37200,BATCH_001
VIN_XXXXXXXXXX024,2022,HYUNDAI,IONIQ 5,SE,27330,B,11/30/2025,16050,2/2/2026,Dealer_LL,D038,"Miami, FL",FL,33101,FT,13,4,26700,BATCH_002
VIN_XXXXXXXXXX025,2023,HYUNDAI,IONIQ 5,Limited,27425,B,1/30/2026,20600,12/12/2025,Dealer_B,D002,"Sacramento, CA",CA,95814,FT,13,2,32750,BATCH_001
VIN_XXXXXXXXXX026,2022,HYUNDAI,IONIQ 5,SE,35704,C,12/18/2025,18350,10/22/2025,Dealer_F,D006,"Olympia, WA",WA,98501,FT,13,3,33050,BATCH_002
VIN_XXXXXXXXXX027,2022,HYUNDAI,IONIQ 5,SE,47765,C,11/30/2025,13150,12/30/2025,Dealer_XX,D050,"Salem, OR",OR,97301,ET,13,4,23750,BATCH_002
VIN_XXXXXXXXXX028,2023,HYUNDAI,IONIQ 5,Limited,22898,B,2/2/2026,18100,12/8/2025,Dealer_C,D003,"Albuquerque, NM",NM,87101,ET,13,2,28850,BATCH_001
VIN_XXXXXXXXXX029,2023,HYUNDAI,IONIQ 5,Limited,19601,A,1/10/2026,21500,12/15/2025,Dealer_R,D018,"Wilmington, DE",DE,19801,FT,13,2,33700,BATCH_001
VIN_XXXXXXXXXX030,2024,HYUNDAI,IONIQ 5,SEL,10345,A,10/28/2025,21500,12/12/2025,Dealer_JJ,D036,"San Diego, CA",CA,92101,ET,13,1,33700,BATCH_003
VIN_XXXXXXXXXX031,2024,HYUNDAI,IONIQ 5,SEL,7826,A,11/30/2025,27200,12/10/2025,Dealer_E,D005,"Seattle, WA",WA,98101,FT,13,1,43500,BATCH_003
VIN_XXXXXXXXXX032,2023,HYUNDAI,IONIQ 5,Limited,29391,B,2/1/2026,17950,11/12/2025,Dealer_PP,D042,"Milwaukee, WI",WI,53201,FT,13,2,28700,BATCH_001
VIN_XXXXXXXXXX033,2024,HYUNDAI,IONIQ 5,SEL,9136,A,12/25/2025,27900,10/28/2025,Dealer_TT,D046,"Providence, RI",RI,2901,ET,13,1,44050,BATCH_003
VIN_XXXXXXXXXX034,2022,HYUNDAI,IONIQ 5,SE,31874,B,11/28/2025,18100,1/25/2026,Dealer_W,D023,"Atlanta, GA",GA,30303,ET,13,4,30550,BATCH_002
VIN_XXXXXXXXXX035,2023,HYUNDAI,IONIQ 5,Limited,27991,B,1/30/2026,21600,11/8/2025,Dealer_I,D009,"Charleston, SC",SC,29401,ET,13,2,34450,BATCH_001
VIN_XXXXXXXXXX036,2023,HYUNDAI,IONIQ 5,Limited,21428,B,2/1/2026,19900,11/10/2025,Dealer_MM,D039,"Buffalo, NY",NY,14201,FT,13,2,31700,BATCH_001
VIN_XXXXXXXXXX037,2024,HYUNDAI,IONIQ 5,SEL,11179,A,10/25/2025,25700,11/22/2025,Dealer_M,D013,"Dallas, TX",TX,75201,FT,13,1,40750,BATCH_003
VIN_XXXXXXXXXX038,2022,HYUNDAI,IONIQ 5,SE,35941,C,12/28/2025,14600,10/15/2025,Dealer_EE,D031,"Salt Lake City, UT",UT,84101,FT,13,4,25950,BATCH_003
VIN_XXXXXXXXXX039,2023,HYUNDAI,IONIQ 5,Limited,20567,A,11/25/2025,23450,11/18/2025,Dealer_J,D010,"Philadelphia, PA",PA,19101,ET,13,2,36800,BATCH_002
VIN_XXXXXXXXXX040,2023,HYUNDAI,IONIQ 5,Limited,22906,B,2/1/2026,17700,11/10/2025,Dealer_Q,D017,"Juneau, AK",AK,99801,ET,13,2,28200,BATCH_001
VIN_XXXXXXXXXX041,2023,HYUNDAI,IONIQ 5,Limited,21926,A,10/30/2025,22600,12/5/2025,Dealer_N,D014,"Las Vegas, NV",NV,89101,ET,13,2,35100,BATCH_002
VIN_XXXXXXXXXX042,2023,HYUNDAI,IONIQ 5,Limited,26613,B,1/15/2026,21350,11/30/2025,Dealer_VV,D048,"Lincoln, NE",NE,68508,ET,13,2,34100,BATCH_001
VIN_XXXXXXXXXX043,2022,HYUNDAI,IONIQ 5,SE,47343,C,12/28/2025,16400,10/15/2025,Dealer_Z,D026,"Cheyenne, WY",WY,82001,ET,13,4,29850,BATCH_002
VIN_XXXXXXXXXX044,2022,HYUNDAI,IONIQ 5,SE,41333,C,10/28/2025,13650,12/10/2025,Dealer_X,D024,"Helena, MT",MT,59601,FT,13,3,24850,BATCH_002
VIN_XXXXXXXXXX045,2023,HYUNDAI,IONIQ 5,Limited,22073,A,1/25/2026,24300,11/20/2025,Dealer_FF,D032,"Birmingham, AL",AL,35203,ET,13,2,38050,BATCH_001
VIN_XXXXXXXXXX046,2022,HYUNDAI,IONIQ 5,SE,36083,C,12/25/2025,13450,10/15/2025,Dealer_B,D002,"Sacramento, CA",CA,95814,FT,13,4,24500,BATCH_002
VIN_XXXXXXXXXX047,2022,HYUNDAI,IONIQ 5,SE,30422,B,11/20/2025,15650,2/1/2026,Dealer_V,D022,"Minneapolis, MN",MN,55401,ET,13,4,26250,BATCH_002
VIN_XXXXXXXXXX048,2022,HYUNDAI,IONIQ 5,SE,40135,C,10/15/2025,17450,11/30/2025,Dealer_GG,D033,"Los Angeles, CA",CA,90210,FT,13,3,31800,BATCH_002
VIN_XXXXXXXXXX049,2022,HYUNDAI,IONIQ 5,SE,41868,C,12/10/2025,16150,10/20/2025,Dealer_CC,D029,"Jackson, MS",MS,39201,FT,13,3,29350,BATCH_002
VIN_XXXXXXXXXX050,2022,HYUNDAI,IONIQ 5,SE,46271,C,11/8/2025,15200,2/2/2026,Dealer_F,D006,"Olympia, WA",WA,98501,FT,13,4,27500,BATCH_002
VIN_XXXXXXXXXX051,2022,HYUNDAI,IONIQ 5,SE,36196,B,12/18/2025,15700,10/18/2025,Dealer_A,D001,"Portland, OR",OR,97201,ET,13,4,26900,BATCH_002
VIN_XXXXXXXXXX052,2024,HYUNDAI,IONIQ 5,SEL,10836,A,12/15/2025,21500,10/15/2025,Dealer_C,D003,"Albuquerque, NM",NM,87101,ET,13,1,34000,BATCH_003
VIN_XXXXXXXXXX053,2023,HYUNDAI,IONIQ 5,Limited,22876,B,1/12/2026,21400,11/15/2025,Dealer_F,D006,"Olympia, WA",WA,98501,FT,13,2,34250,BATCH_003
VIN_XXXXXXXXXX054,2022,HYUNDAI,IONIQ 5,SE,39019,C,12/8/2025,15400,10/15/2025,Dealer_W,D023,"Atlanta, GA",GA,30303,ET,13,3,27950,BATCH_002
VIN_XXXXXXXXXX055,2022,HYUNDAI,IONIQ 5,SE,36644,C,1/15/2026,13550,11/28/2025,Dealer_CC,D029,"Jackson, MS",MS,39201,ET,13,3,25100,BATCH_001
VIN_XXXXXXXXXX056,2023,HYUNDAI,IONIQ 5,Limited,19249,A,2/1/2026,18700,11/12/2025,Dealer_FF,D032,"Birmingham, AL",AL,35203,ET,13,2,29700,BATCH_001
VIN_XXXXXXXXXX057,2023,HYUNDAI,IONIQ 5,Limited,27777,B,2/2/2026,21900,12/18/2025,Dealer_X,D024,"Helena, MT",MT,59601,FT,13,2,34850,BATCH_001
VIN_XXXXXXXXXX058,2024,HYUNDAI,IONIQ 5,SEL,7689,A,10/20/2025,23550,12/18/2025,Dealer_J,D010,"Philadelphia, PA",PA,19101,ET,13,1,37600,BATCH_003
VIN_XXXXXXXXXX059,2024,HYUNDAI,IONIQ 5,SEL,9830,A,1/8/2026,23600,11/18/2025,Dealer_M,D013,"Dallas, TX",TX,75201,FT,13,1,37350,BATCH_003
VIN_XXXXXXXXXX060,2024,HYUNDAI,IONIQ 5,SEL,11566,A,1/20/2026,22950,1/5/2026,Dealer_TT,D046,"Providence, RI",RI,2901,FT,13,1,36250,BATCH_001
VIN_XXXXXXXXXX061,2024,HYUNDAI,IONIQ 5,SEL,9781,A,12/12/2025,21150,10/25/2025,Dealer_JJ,D036,"San Diego, CA",CA,92101,ET,13,1,33450,BATCH_003
VIN_XXXXXXXXXX062,2022,HYUNDAI,IONIQ 5,SE,30739,B,12/10/2025,16800,10/18/2025,Dealer_XX,D050,"Salem, OR",OR,97301,ET,13,4,28100,BATCH_002
VIN_XXXXXXXXXX063,2024,HYUNDAI,IONIQ 5,SEL,8619,A,10/20/2025,20950,1/20/2026,Dealer_J,D010,"Philadelphia, PA",PA,19101,ET,13,1,33050,BATCH_003
VIN_XXXXXXXXXX064,2023,HYUNDAI,IONIQ 5,Limited,25167,B,2/2/2026,18100,12/30/2025,Dealer_VV,D048,"Lincoln, NE",NE,68508,ET,13,2,28800,BATCH_001
VIN_XXXXXXXXXX065,2023,HYUNDAI,IONIQ 5,Limited,23092,B,1/18/2026,19650,1/12/2026,Dealer_O,D015,"Boston, MA",MA,2101,ET,13,2,31350,BATCH_001
VIN_XXXXXXXXXX066,2024,HYUNDAI,IONIQ 5,SEL,7753,A,10/12/2025,21550,12/22/2025,Dealer_I,D009,"Charleston, SC",SC,29401,ET,13,1,34000,BATCH_003
VIN_XXXXXXXXXX067,2022,HYUNDAI,IONIQ 5,SE,40630,C,11/28/2025,14600,2/2/2026,Dealer_DD,D030,"San Antonio, TX",TX,78201,FT,13,4,26450,BATCH_002
VIN_XXXXXXXXXX068,2024,HYUNDAI,IONIQ 5,SEL,8397,A,10/25/2025,25650,2/2/2026,Dealer_Z,D026,"Cheyenne, WY",WY,82001,ET,13,1,40850,BATCH_003
VIN_XXXXXXXXXX069,2024,HYUNDAI,IONIQ 5,SEL,10047,A,10/18/2025,24100,12/28/2025,Dealer_VV,D048,"Lincoln, NE",NE,68508,ET,13,1,38100,BATCH_003
VIN_XXXXXXXXXX070,2023,HYUNDAI,IONIQ 5,Limited,23171,A,11/15/2025,23200,1/12/2026,Dealer_W,D023,"Atlanta, GA",GA,30303,ET,13,2,36850,BATCH_001
VIN_XXXXXXXXXX071,2024,HYUNDAI,IONIQ 5,SEL,9108,A,1/15/2026,27200,11/12/2025,Dealer_C,D003,"Albuquerque, NM",NM,87101,ET,13,1,42950,BATCH_003
VIN_XXXXXXXXXX072,2024,HYUNDAI,IONIQ 5,SEL,9519,A,1/10/2026,26450,11/28/2025,Dealer_O,D015,"Boston, MA",MA,2101,FT,13,1,41900,BATCH_001
VIN_XXXXXXXXXX073,2024,HYUNDAI,IONIQ 5,SEL,6825,A,12/28/2025,23800,10/12/2025,Dealer_II,D035,"Denver, CO",CO,80202,FT,13,1,37700,BATCH_003
VIN_XXXXXXXXXX074,2022,HYUNDAI,IONIQ 5,SE,50028,C,12/25/2025,16350,12/28/2025,Dealer_II,D035,"Denver, CO",CO,80202,FT,13,3,29800,BATCH_002
VIN_XXXXXXXXXX075,2024,HYUNDAI,IONIQ 5,SEL,11574,A,10/30/2025,23900,11/30/2025,Dealer_O,D015,"Boston, MA",MA,2101,ET,13,1,37700,BATCH_003
VIN_XXXXXXXXXX076,2023,HYUNDAI,IONIQ 5,Limited,16616,A,1/12/2026,25300,12/15/2025,Dealer_LL,D038,"Miami, FL",FL,33101,FT,13,2,39750,BATCH_001
VIN_XXXXXXXXXX077,2022,HYUNDAI,IONIQ 5,SE,42159,C,11/28/2025,16250,2/2/2026,Dealer_L,D012,"Baton Rouge, LA",LA,70801,FT,13,4,29300,BATCH_002
VIN_XXXXXXXXXX078,2023,HYUNDAI,IONIQ 5,Limited,27514,B,1/18/2026,20650,12/15/2025,Dealer_SS,D045,"Tampa, FL",FL,33601,FT,13,2,33050,BATCH_001
VIN_XXXXXXXXXX079,2022,HYUNDAI,IONIQ 5,SE,30587,B,1/5/2026,18950,10/25/2025,Dealer_O,D015,"Boston, MA",MA,2101,FT,13,3,32350,BATCH_003
VIN_XXXXXXXXXX080,2022,HYUNDAI,IONIQ 5,SE,40042,C,11/18/2025,15100,2/1/2026,Dealer_G,D007,"Phoenix, AZ",AZ,85001,ET,13,4,27150,BATCH_002
VIN_XXXXXXXXXX081,2024,HYUNDAI,IONIQ 5,SEL,8456,A,1/18/2026,24100,11/30/2025,Dealer_Q,D017,"Juneau, AK",AK,99801,ET,13,1,38300,BATCH_003
VIN_XXXXXXXXXX082,2022,HYUNDAI,IONIQ 5,Limited,31136,B,12/8/2025,18950,1/15/2026,Dealer_HH,D034,"Houston, TX",TX,77001,ET,13,1,32150,BATCH_002
VIN_XXXXXXXXXX083,2022,HYUNDAI,IONIQ 5,SE,32144,C,11/12/2025,17050,2/1/2026,Dealer_Z,D026,"Cheyenne, WY",WY,82001,ET,13,3,30200,BATCH_002
VIN_XXXXXXXXXX084,2024,HYUNDAI,IONIQ 5,SEL,13001,A,12/15/2025,25700,10/30/2025,Dealer_XX,D050,"Salem, OR",OR,97301,ET,13,1,40650,BATCH_003
VIN_XXXXXXXXXX085,2022,HYUNDAI,IONIQ 5,SE,41738,C,12/30/2025,16700,10/22/2025,Dealer_Z,D026,"Cheyenne, WY",WY,82001,ET,13,3,30500,BATCH_002
VIN_XXXXXXXXXX086,2022,HYUNDAI,IONIQ 5,SE,41037,C,11/30/2025,19050,2/2/2026,Dealer_B,D002,"Sacramento, CA",CA,95814,FT,13,3,33400,BATCH_002
