VIN,YEAR,MAKE,MODEL,SOURCE,SOURCE_CITY,SOURCE_STATE,RESIDUAL,STATUS,WEEK,ASSIGNED_DEALER,NOTES
VIN_XXXXXXXXXX001,2023,HYUNDAI,IONIQ 5 Limited,D049,Carson City,NV,22900,Grounded,2026-01-26,,Grounded at Dealer_WW
VIN_XXXXXXXXXX002,2024,HYUNDAI,IONIQ 5 SEL,D010,Philadelphia,PA,25150,Grounded,2025-11-17,,Grounded at Dealer_J
VIN_XXXXXXXXXX003,2024,HYUNDAI,IONIQ 5 SEL,D019,Detroit,MI,26800,Grounded,2025-11-24,,Grounded at Dealer_S
VIN_XXXXXXXXXX004,2023,HYUNDAI,IONIQ 5 Limited,D002,Sacramento,CA,20700,Grounded,2025-11-03,,Grounded at Dealer_B
VIN_XXXXXXXXXX005,2024,HYUNDAI,IONIQ 5 SEL,D027,Nashville,TN,25700,Grounded,2025-10-13,,Grounded at Dealer_AA
VIN_XXXXXXXXXX006,2022,HYUNDAI,IONIQ 5 SE,D019,Detroit,MI,17200,Grounded,2025-11-24,,Grounded at Dealer_S
VIN_XXXXXXXXXX007,2024,HYUNDAI,IONIQ 5 SEL,D017,Juneau,AK,24300,Grounded,2025-10-06,,Grounded at Dealer_Q
VIN_XXXXXXXXXX008,2022,HYUNDAI,IONIQ 5 SE,D034,Houston,TX,15850,Grounded,2025-10-20,,Grounded at Dealer_HH
VIN_XXXXXXXXXX009,2024,HYUNDAI,IONIQ 5 SEL,D037,Boise,ID,25500,Grounded,2025-10-06,,Grounded at Dealer_KK
VIN_XXXXXXXXXX010,2024,HYUNDAI,IONIQ 5 SEL,D019,Detroit,MI,25200,Grounded,2025-10-27,,Grounded at Dealer_S
VIN_XXXXXXXXXX011,2022,HYUNDAI,IONIQ 5 SE,D041,Oklahoma City,OK,20300,Grounded,2025-10-20,,Grounded at Dealer_OO
VIN_XXXXXXXXXX012,2024,HYUNDAI,IONIQ 5 SEL,D011,Des Moines,IA,23900,Grounded,2025-10-13,,Grounded at Dealer_K
VIN_XXXXXXXXXX013,2022,HYUNDAI,IONIQ 5 SE,D017,Juneau,AK,16400,Grounded,2025-11-17,,Grounded at Dealer_Q
VIN_XXXXXXXXXX014,2022,HYUNDAI,IONIQ 5 SE,D022,Minneapolis,MN,19450,Grounded,2025-12-08,,Grounded at Dealer_V
VIN_XXXXXXXXXX015,2022,HYUNDAI,IONIQ 5 SE,D037,Boise,ID,16300,Grounded,2025-11-24,,Grounded at Dealer_KK
VIN_XXXXXXXXXX016,2024,HYUNDAI,IONIQ 5 SEL,D018,Wilmington,DE,28300,Grounded,2025-10-13,,Grounded at Dealer_R
VIN_XXXXXXXXXX017,2022,HYUNDAI,IONIQ 5 SE,D011,Des Moines,IA,13100,Grounded,2026-01-12,,Grounded at Dealer_K
VIN_XXXXXXXXXX018,2022,HYUNDAI,IONIQ 5 SE,D003,Albuquerque,NM,16150,Grounded,2026-01-26,,Grounded at Dealer_C
VIN_XXXXXXXXXX019,2022,HYUNDAI,IONIQ 5 SE,D033,Los Angeles,CA,15250,Grounded,2025-12-29,,Grounded at Dealer_GG
VIN_XXXXXXXXXX020,2023,HYUNDAI,IONIQ 5 Limited,D033,Los Angeles,CA,19500,Grounded,2026-01-19,,Grounded at Dealer_GG
VIN_XXXXXXXXXX021,2023,HYUNDAI,IONIQ 5 SEL,D033,Los Angeles,CA,20150,Grounded,2025-12-15,,Grounded at Dealer_GG
VIN_XXXXXXXXXX022,2022,HYUNDAI,IONIQ 5 SE,D040,Little Rock,AR,16700,Grounded,2026-01-26,,Grounded at Dealer_NN
VIN_XXXXXXXXXX023,2023,HYUNDAI,IONIQ 5 Limited,D034,Houston,TX,23350,Grounded,2025-12-29,,Grounded at Dealer_HH
VIN_XXXXXXXXXX024,2022,HYUNDAI,IONIQ 5 SE,D038,Miami,FL,16050,Grounded,2026-02-02,,Grounded at Dealer_LL
VIN_XXXXXXXXXX025,2023,HYUNDAI,IONIQ 5 Limited,D002,Sacramento,CA,20600,Grounded,2025-12-08,,Grounded at Dealer_B
VIN_XXXXXXXXXX026,2022,HYUNDAI,IONIQ 5 SE,D006,Olympia,WA,18350,Grounded,2025-10-20,,Grounded at Dealer_F
VIN_XXXXXXXXXX027,2022,HYUNDAI,IONIQ 5 SE,D050,Salem,OR,13150,Grounded,2025-12-29,,Grounded at Dealer_XX
VIN_XXXXXXXXXX028,2023,HYUNDAI,IONIQ 5 Limited,D003,Albuquerque,NM,18100,Grounded,2025-12-08,,Grounded at Dealer_C
VIN_XXXXXXXXXX029,2023,HYUNDAI,IONIQ 5 Limited,D018,Wilmington,DE,21500,Grounded,2025-12-15,,Grounded at Dealer_R
VIN_XXXXXXXXXX030,2024,HYUNDAI,IONIQ 5 SEL,D036,San Diego,CA,21500,Grounded,2025-12-08,,Grounded at Dealer_JJ
VIN_XXXXXXXXXX031,2024,HYUNDAI,IONIQ 5 SEL,D005,Seattle,WA,27200,Grounded,2025-12-08,,Grounded at Dealer_E
VIN_XXXXXXXXXX032,2023,HYUNDAI,IONIQ 5 Limited,D042,Milwaukee,WI,17950,Grounded,2025-11-10,,Grounded at Dealer_PP
VIN_XXXXXXXXXX033,2024,HYUNDAI,IONIQ 5 SEL,D046,Providence,RI,27900,Grounded,2025-10-27,,Grounded at Dealer_TT
VIN_XXXXXXXXXX034,2022,HYUNDAI,IONIQ 5 SE,D023,Atlanta,GA,18100,Grounded,2026-01-19,,Grounded at Dealer_W
VIN_XXXXXXXXXX035,2023,HYUNDAI,IONIQ 5 Limited,D009,Charleston,SC,21600,Grounded,2025-11-03,,Grounded at Dealer_I
VIN_XXXXXXXXXX036,2023,HYUNDAI,IONIQ 5 Limited,D039,Buffalo,NY,19900,Grounded,2025-11-10,,Grounded at Dealer_MM
